gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,sic,at,lt,lct,act,che,invt,rect,sale,cogs,oiadp,ni,ib,year,current_ratio,quick_ratio,debt_ratio,roe,gross_margin,net_margin,inventory_turnover,receivables_turnover
001690,2018-09-30,2018,INDL,C,D,STD,3663,365725.0,258578.0,116866.0,131339.0,66301.0,3956.0,48995.0,265359.0,154456.0,70662.0,59531.0,59531.0,2018,1.1238426916297297,1.0899919565998666,0.7070285050242668,0.5556011834209077,0.4179357021996616,0.22434136396353618,39.04347826086956,5.4160424533115625
001690,2018-09-30,2018,INDL,C,D,STD,3663,365725.0,258578.0,116866.0,131339.0,66301.0,3956.0,48995.0,265359.0,154456.0,70662.0,59531.0,59531.0,2018,1.1238426916297297,1.0899919565998666,0.7070285050242668,0.5556011834209077,0.4179357021996616,0.22434136396353618,39.04347826086956,5.4160424533115625
001690,2019-09-30,2019,INDL,C,D,STD,3663,338516.0,248028.0,105718.0,162819.0,100580.0,4106.0,45804.0,260174.0,150482.0,63930.0,55256.0,55256.0,2019,1.540125617208044,1.501286441287198,0.7326921031797611,0.6106445053487756,0.4216101532051627,0.21238094505984456,36.64929371651242,5.68015893808401
001690,2019-09-30,2019,INDL,C,D,STD,3663,338516.0,248028.0,105718.0,162819.0,100580.0,4106.0,45804.0,260174.0,150482.0,63930.0,55256.0,55256.0,2019,1.540125617208044,1.501286441287198,0.7326921031797611,0.6106445053487756,0.4216101532051627,0.21238094505984456,36.64929371651242,5.68015893808401
001690,2020-09-30,2020,INDL,C,D,STD,3663,323888.0,258549.0,105392.0,143713.0,90979.0,4061.0,37445.0,274515.0,159859.0,66288.0,57411.0,57411.0,2020,1.3636044481554577,1.325072111735236,0.7982666847799239,0.8786635853012749,0.41766752272189134,0.20913611278072236,39.36444225560207,7.331152356789959
001690,2020-09-30,2020,INDL,C,D,STD,3663,323888.0,258549.0,105392.0,143713.0,90979.0,4061.0,37445.0,274515.0,159859.0,66288.0,57411.0,57411.0,2020,1.3636044481554577,1.325072111735236,0.7982666847799239,0.8786635853012749,0.41766752272189134,0.20913611278072236,39.36444225560207,7.331152356789959
001690,2021-09-30,2021,INDL,C,D,STD,3663,351002.0,287912.0,125481.0,134836.0,62639.0,6580.0,51506.0,365817.0,203481.0,108949.0,94680.0,94680.0,2021,1.0745531195957954,1.0221149018576519,0.8202574344305731,1.5007132667617689,0.4437628650390769,0.2588179335569424,30.924164133738604,7.102415252591931
001690,2021-09-30,2021,INDL,C,D,STD,3663,351002.0,287912.0,125481.0,134836.0,62639.0,6580.0,51506.0,365817.0,203481.0,108949.0,94680.0,94680.0,2021,1.0745531195957954,1.0221149018576519,0.8202574344305731,1.5007132667617689,0.4437628650390769,0.2588179335569424,30.924164133738604,7.102415252591931
001690,2022-09-30,2022,INDL,C,D,STD,3663,352755.0,302083.0,153982.0,135405.0,48304.0,4946.0,60932.0,394328.0,214846.0,119437.0,99803.0,99803.0,2022,0.8793560286267226,0.8472353911496149,0.8563535598361469,1.9695887275023682,0.4551591568440486,0.2530964070519973,43.438334007278605,6.471607693822622
001690,2022-09-30,2022,INDL,C,D,STD,3663,352755.0,302083.0,153982.0,135405.0,48304.0,4946.0,60932.0,394328.0,214846.0,119437.0,99803.0,99803.0,2022,0.8793560286267226,0.8472353911496149,0.8563535598361469,1.9695887275023682,0.4551591568440486,0.2530964070519973,43.438334007278605,6.471607693822622
